image_path,label
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\okay\2066.jpg,okay
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\fingers_crossed\3002.jpg,fingers_crossed
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\thumbs\1348.jpg,thumbs
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\paper\1876.jpg,paper
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\thumbs\2013.jpg,thumbs
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\fingers_crossed\1758.jpg,fingers_crossed
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\up\6307.jpg,up
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\peace\1671.jpg,peace
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock_on\3479.jpg,rock_on
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\scissor\2369.jpg,scissor
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock\1279.jpg,rock
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\call_me\5175.jpg,call_me
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\peace\9558.jpg,peace
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock_on\541.jpg,rock_on
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\okay\1297.jpg,okay
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock_on\4546.jpg,rock_on
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\call_me\5232.jpg,call_me
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\call_me\1737.jpg,call_me
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\fingers_crossed\4512.jpg,fingers_crossed
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\scissor\1227.jpg,scissor
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\okay\2466.jpg,okay
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\thumbs\3822.jpg,thumbs
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\thumbs\774.jpg,thumbs
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\peace\867.jpg,peace
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\call_me\3928.jpg,call_me
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock_on\5393.jpg,rock_on
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock\3637.jpg,rock
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\scissor\2299.jpg,scissor
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\scissor\3113.jpg,scissor
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\call_me\4709.jpg,call_me
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\paper\4141.jpg,paper
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\thumbs\3923.jpg,thumbs
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\call_me\4688.jpg,call_me
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock_on\2791.jpg,rock_on
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock_on\2566.jpg,rock_on
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\up\4553.jpg,up
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\fingers_crossed\6705.jpg,fingers_crossed
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock\1001.jpg,rock
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock_on\1370.jpg,rock_on
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\peace\985.jpg,peace
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\fingers_crossed\5624.jpg,fingers_crossed
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock_on\5584.jpg,rock_on
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\call_me\5964.jpg,call_me
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\call_me\2878.jpg,call_me
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock\2957.jpg,rock
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\peace\1557.jpg,peace
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\peace\412.jpg,peace
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock\2149.jpg,rock
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock\902.jpg,rock
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\call_me\4605.jpg,call_me
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock\4239.jpg,rock
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\thumbs\3233.jpg,thumbs
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\scissor\1912.jpg,scissor
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock_on\5855.jpg,rock_on
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\thumbs\4796.jpg,thumbs
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\call_me\4682.jpg,call_me
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\okay\5679.jpg,okay
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\fingers_crossed\6508.jpg,fingers_crossed
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\scissor\1594.jpg,scissor
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\paper\746.jpg,paper
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock_on\2064.jpg,rock_on
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\okay\1906.jpg,okay
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\peace\768.jpg,peace
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\call_me\3331.jpg,call_me
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\scissor\3102.jpg,scissor
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\up\9679.jpg,up
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\fingers_crossed\6800.jpg,fingers_crossed
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\up\7155.jpg,up
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\up\6378.jpg,up
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock\2090.jpg,rock
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\peace\10390.jpg,peace
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\call_me\1978.jpg,call_me
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock_on\489.jpg,rock_on
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\fingers_crossed\1945.jpg,fingers_crossed
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\up\9037.jpg,up
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\paper\1580.jpg,paper
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\peace\1782.jpg,peace
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\scissor\2102.jpg,scissor
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock_on\2670.jpg,rock_on
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\peace\1069.jpg,peace
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\paper\2761.jpg,paper
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\call_me\1803.jpg,call_me
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock_on\1058.jpg,rock_on
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\call_me\3434.jpg,call_me
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\peace\311.jpg,peace
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock\2949.jpg,rock
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\call_me\4562.jpg,call_me
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock\589.jpg,rock
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\up\1111.jpg,up
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\okay\6467.jpg,okay
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\fingers_crossed\6143.jpg,fingers_crossed
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\call_me\4006.jpg,call_me
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\scissor\2971.jpg,scissor
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock_on\6100.jpg,rock_on
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\fingers_crossed\6018.jpg,fingers_crossed
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\paper\1369.jpg,paper
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\okay\5848.jpg,okay
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock\480.jpg,rock
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\paper\1638.jpg,paper
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\fingers_crossed\1955.jpg,fingers_crossed
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock\3863.jpg,rock
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock\3357.jpg,rock
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock_on\983.jpg,rock_on
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\paper\1414.jpg,paper
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\thumbs\4577.jpg,thumbs
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\rock_on\5989.jpg,rock_on
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\scissor\1918.jpg,scissor
E:\lectures_and_books\Subjects\deep\ResNet\archive\HandGesture\images\okay\2412.jpg,okay
